Quantity	Time Window	Window Start (Years)	Category	Second Category	Value
Co-clustering Frequency	5500-6000 Years	5500	Northern Segment	Southern Segment	0.548
Co-clustering Frequency	5500-6000 Years	5500	Northern Segment	Western Highland	0.816
Co-clustering Frequency	5500-6000 Years	5500	Panxi and Liangshan	Qinghai-Tibet Plateau Core	0.91
Co-clustering Frequency	5500-6000 Years	5500	Panxi and Liangshan	Sichuan Basin	0.738
Co-clustering Frequency	5500-6000 Years	5500	Panxi and Liangshan	Southern Segment	0.556
Co-clustering Frequency	5500-6000 Years	5500	Panxi and Liangshan	Western Highland	0.864
Co-clustering Frequency	5500-6000 Years	5500	Qinghai-Tibet Plateau Core	Sichuan Basin	0.696
Co-clustering Frequency	5500-6000 Years	5500	Qinghai-Tibet Plateau Core	Southern Segment	0.562
Co-clustering Frequency	5500-6000 Years	5500	Qinghai-Tibet Plateau Core	Western Highland	0.838
Co-clustering Frequency	5500-6000 Years	5500	Sichuan Basin	Southern Segment	0.342
Co-clustering Frequency	5500-6000 Years	5500	Sichuan Basin	Western Highland	0.642
Co-clustering Frequency	5500-6000 Years	5500	Southern Segment	Western Highland	0.552
Co-clustering Frequency	6000-6500 Years	6000	Central Segment	North China	0.63
Co-clustering Frequency	6000-6500 Years	6000	Central Segment	Northern Segment	0.702
Co-clustering Frequency	6000-6500 Years	6000	Central Segment	Panxi and Liangshan	0.696
Co-clustering Frequency	6000-6500 Years	6000	Central Segment	Qinghai-Tibet Plateau Core	0.682
Co-clustering Frequency	6000-6500 Years	6000	Central Segment	Sichuan Basin	0.192
Co-clustering Frequency	6000-6500 Years	6000	Central Segment	Southern Segment	0.618
Co-clustering Frequency	6000-6500 Years	6000	Central Segment	Western Highland	0.69
Co-clustering Frequency	6000-6500 Years	6000	North China	Northern Segment	0.88
Co-clustering Frequency	6000-6500 Years	6000	North China	Panxi and Liangshan	0.818
Co-clustering Frequency	6000-6500 Years	6000	North China	Qinghai-Tibet Plateau Core	0.9
Co-clustering Frequency	6000-6500 Years	6000	North China	Sichuan Basin	0.53
Co-clustering Frequency	6000-6500 Years	6000	North China	Southern Segment	0.724
Co-clustering Frequency	6000-6500 Years	6000	North China	Western Highland	0.84
Co-clustering Frequency	6000-6500 Years	6000	Northern Segment	Panxi and Liangshan	0.838
Co-clustering Frequency	6000-6500 Years	6000	Northern Segment	Qinghai-Tibet Plateau Core	0.896
Co-clustering Frequency	6000-6500 Years	6000	Northern Segment	Sichuan Basin	0.438
Co-clustering Frequency	6000-6500 Years	6000	Northern Segment	Southern Segment	0.756
Co-clustering Frequency	6000-6500 Years	6000	Northern Segment	Western Highland	0.876
Co-clustering Frequency	6000-6500 Years	6000	Panxi and Liangshan	Qinghai-Tibet Plateau Core	0.822
Co-clustering Frequency	6000-6500 Years	6000	Panxi and Liangshan	Sichuan Basin	0.38
Co-clustering Frequency	6000-6500 Years	6000	Panxi and Liangshan	Southern Segment	0.674
Co-clustering Frequency	6000-6500 Years	6000	Panxi and Liangshan	Western Highland	0.79
Co-clustering Frequency	6000-6500 Years	6000	Qinghai-Tibet Plateau Core	Sichuan Basin	0.482
Co-clustering Frequency	6000-6500 Years	6000	Qinghai-Tibet Plateau Core	Southern Segment	0.764
Co-clustering Frequency	6000-6500 Years	6000	Qinghai-Tibet Plateau Core	Western Highland	0.876
Co-clustering Frequency	6000-6500 Years	6000	Sichuan Basin	Southern Segment	0.37
Co-clustering Frequency	6000-6500 Years	6000	Sichuan Basin	Western Highland	0.426
Co-clustering Frequency	6000-6500 Years	6000	Southern Segment	Western Highland	0.7
Co-clustering Frequency	6500-7000 Years	6500	Central Segment	North China	0.628
Co-clustering Frequency	6500-7000 Years	6500	Central Segment	Northern Segment	0.916
Co-clustering Frequency	6500-7000 Years	6500	Central Segment	Panxi and Liangshan	0.74
Co-clustering Frequency	6500-7000 Years	6500	Central Segment	Qinghai-Tibet Plateau Core	0.88
Co-clustering Frequency	6500-7000 Years	6500	Central Segment	Sichuan Basin	0.172
Co-clustering Frequency	6500-7000 Years	6500	Central Segment	Southern Segment	0.754
Co-clustering Frequency	6500-7000 Years	6500	Central Segment	Western Highland	0.936
Co-clustering Frequency	6500-7000 Years	6500	North China	Northern Segment	0.664
Co-clustering Frequency	6500-7000 Years	6500	North China	Panxi and Liangshan	0.568
Co-clustering Frequency	6500-7000 Years	6500	North China	Qinghai-Tibet Plateau Core	0.648
Co-clustering Frequency	6500-7000 Years	6500	North China	Sichuan Basin	0.412
Co-clustering Frequency	6500-7000 Years	6500	North China	Southern Segment	0.654
Co-clustering Frequency	6500-7000 Years	6500	North China	Western Highland	0.612
Co-clustering Frequency	6500-7000 Years	6500	Northern Segment	Panxi and Liangshan	0.716
Co-clustering Frequency	6500-7000 Years	6500	Northern Segment	Qinghai-Tibet Plateau Core	0.852
Co-clustering Frequency	6500-7000 Years	6500	Northern Segment	Sichuan Basin	0.192
Co-clustering Frequency	6500-7000 Years	6500	Northern Segment	Southern Segment	0.73
Co-clustering Frequency	6500-7000 Years	6500	Northern Segment	Western Highland	0.884
Co-clustering Frequency	6500-7000 Years	6500	Panxi and Liangshan	Qinghai-Tibet Plateau Core	0.684
Co-clustering Frequency	6500-7000 Years	6500	Panxi and Liangshan	Sichuan Basin	0.336
Co-clustering Frequency	6500-7000 Years	6500	Panxi and Liangshan	Southern Segment	0.694
Co-clustering Frequency	6500-7000 Years	6500	Panxi and Liangshan	Western Highland	0.7
Co-clustering Frequency	6500-7000 Years	6500	Qinghai-Tibet Plateau Core	Sichuan Basin	0.18
Co-clustering Frequency	6500-7000 Years	6500	Qinghai-Tibet Plateau Core	Southern Segment	0.702
Co-clustering Frequency	6500-7000 Years	6500	Qinghai-Tibet Plateau Core	Western Highland	0.868
Co-clustering Frequency	6500-7000 Years	6500	Sichuan Basin	Southern Segment	0.366
Co-clustering Frequency	6500-7000 Years	6500	Sichuan Basin	Western Highland	0.152
Co-clustering Frequency	6500-7000 Years	6500	Southern Segment	Western Highland	0.722
Co-clustering Frequency	7000-7500 Years	7000	Central Segment	North China	0.528
Co-clustering Frequency	7000-7500 Years	7000	Central Segment	Northern Segment	0.862
Co-clustering Frequency	7000-7500 Years	7000	Central Segment	Panxi and Liangshan	0.818
Co-clustering Frequency	7000-7500 Years	7000	Central Segment	Qinghai-Tibet Plateau Core	0.86
Co-clustering Frequency	7000-7500 Years	7000	Central Segment	Sichuan Basin	0.382
Co-clustering Frequency	7000-7500 Years	7000	Central Segment	Southern Segment	0.8
Co-clustering Frequency	7000-7500 Years	7000	Central Segment	Western Highland	0.87
Co-clustering Frequency	7000-7500 Years	7000	North China	Northern Segment	0.538
Co-clustering Frequency	7000-7500 Years	7000	North China	Panxi and Liangshan	0.542
Co-clustering Frequency	7000-7500 Years	7000	North China	Qinghai-Tibet Plateau Core	0.496
Co-clustering Frequency	7000-7500 Years	7000	North China	Sichuan Basin	0.574
Co-clustering Frequency	7000-7500 Years	7000	North China	Southern Segment	0.432
Co-clustering Frequency	7000-7500 Years	7000	North China	Western Highland	0.474
Co-clustering Frequency	7000-7500 Years	7000	Northern Segment	Panxi and Liangshan	0.784
Co-clustering Frequency	7000-7500 Years	7000	Northern Segment	Qinghai-Tibet Plateau Core	0.85
Co-clustering Frequency	7000-7500 Years	7000	Northern Segment	Sichuan Basin	0.38
Co-clustering Frequency	7000-7500 Years	7000	Northern Segment	Southern Segment	0.774
Co-clustering Frequency	7000-7500 Years	7000	Northern Segment	Western Highland	0.852
Co-clustering Frequency	7000-7500 Years	7000	Panxi and Liangshan	Qinghai-Tibet Plateau Core	0.786
Co-clustering Frequency	7000-7500 Years	7000	Panxi and Liangshan	Sichuan Basin	0.476
Co-clustering Frequency	7000-7500 Years	7000	Panxi and Liangshan	Southern Segment	0.722
Co-clustering Frequency	7000-7500 Years	7000	Panxi and Liangshan	Western Highland	0.784
Co-clustering Frequency	7000-7500 Years	7000	Qinghai-Tibet Plateau Core	Sichuan Basin	0.366
Co-clustering Frequency	7000-7500 Years	7000	Qinghai-Tibet Plateau Core	Southern Segment	0.76
Co-clustering Frequency	7000-7500 Years	7000	Qinghai-Tibet Plateau Core	Western Highland	0.862
Co-clustering Frequency	7000-7500 Years	7000	Sichuan Basin	Southern Segment	0.322
Co-clustering Frequency	7000-7500 Years	7000	Sichuan Basin	Western Highland	0.336
Co-clustering Frequency	7000-7500 Years	7000	Southern Segment	Western Highland	0.802
Co-clustering Frequency	7500-8000 Years	7500	Central Segment	North China	0.712
Co-clustering Frequency	7500-8000 Years	7500	Central Segment	Northern Segment	0.89
Co-clustering Frequency	7500-8000 Years	7500	Central Segment	Panxi and Liangshan	0.942
Co-clustering Frequency	7500-8000 Years	7500	Central Segment	Qinghai-Tibet Plateau Core	0.91
Co-clustering Frequency	7500-8000 Years	7500	Central Segment	Sichuan Basin	0.668
Co-clustering Frequency	7500-8000 Years	7500	Central Segment	Southern Segment	0.412
Co-clustering Frequency	7500-8000 Years	7500	Central Segment	Western Highland	0.894
Co-clustering Frequency	7500-8000 Years	7500	North China	Northern Segment	0.75
Co-clustering Frequency	7500-8000 Years	7500	North China	Panxi and Liangshan	0.694
Co-clustering Frequency	7500-8000 Years	7500	North China	Qinghai-Tibet Plateau Core	0.674
Co-clustering Frequency	7500-8000 Years	7500	North China	Sichuan Basin	0.4
Co-clustering Frequency	7500-8000 Years	7500	North China	Southern Segment	0.136
Co-clustering Frequency	7500-8000 Years	7500	North China	Western Highland	0.626
Co-clustering Frequency	7500-8000 Years	7500	Northern Segment	Panxi and Liangshan	0.864
Co-clustering Frequency	7500-8000 Years	7500	Northern Segment	Qinghai-Tibet Plateau Core	0.86
Co-clustering Frequency	7500-8000 Years	7500	Northern Segment	Sichuan Basin	0.606
Co-clustering Frequency	7500-8000 Years	7500	Northern Segment	Southern Segment	0.358
Co-clustering Frequency	7500-8000 Years	7500	Northern Segment	Western Highland	0.828
Co-clustering Frequency	7500-8000 Years	7500	Panxi and Liangshan	Qinghai-Tibet Plateau Core	0.896
Co-clustering Frequency	7500-8000 Years	7500	Panxi and Liangshan	Sichuan Basin	0.646
Co-clustering Frequency	7500-8000 Years	7500	Panxi and Liangshan	Southern Segment	0.398
Co-clustering Frequency	7500-8000 Years	7500	Panxi and Liangshan	Western Highland	0.864
Co-clustering Frequency	7500-8000 Years	7500	Qinghai-Tibet Plateau Core	Sichuan Basin	0.638
Co-clustering Frequency	7500-8000 Years	7500	Qinghai-Tibet Plateau Core	Southern Segment	0.422
Co-clustering Frequency	7500-8000 Years	7500	Qinghai-Tibet Plateau Core	Western Highland	0.856
Co-clustering Frequency	7500-8000 Years	7500	Sichuan Basin	Southern Segment	0.56
Co-clustering Frequency	7500-8000 Years	7500	Sichuan Basin	Western Highland	0.654
Co-clustering Frequency	7500-8000 Years	7500	Southern Segment	Western Highland	0.446
Co-clustering Frequency	8000-8500 Years	8000	Central Segment	North China	0.71
Co-clustering Frequency	8000-8500 Years	8000	Central Segment	Northern Segment	0.82
Co-clustering Frequency	8000-8500 Years	8000	Central Segment	Panxi and Liangshan	0.706
Co-clustering Frequency	8000-8500 Years	8000	Central Segment	Qinghai-Tibet Plateau Core	0.838
Co-clustering Frequency	8000-8500 Years	8000	Central Segment	Sichuan Basin	0.492
Co-clustering Frequency	8000-8500 Years	8000	Central Segment	Southern Segment	0.592
Co-clustering Frequency	8000-8500 Years	8000	Central Segment	Western Highland	0.806
Co-clustering Frequency	8000-8500 Years	8000	North China	Northern Segment	0.794
Co-clustering Frequency	8000-8500 Years	8000	North China	Panxi and Liangshan	0.612
Co-clustering Frequency	8000-8500 Years	8000	North China	Qinghai-Tibet Plateau Core	0.736
Co-clustering Frequency	8000-8500 Years	8000	North China	Sichuan Basin	0.526
Co-clustering Frequency	8000-8500 Years	8000	North China	Southern Segment	0.574
Co-clustering Frequency	8000-8500 Years	8000	North China	Western Highland	0.68
Co-clustering Frequency	8000-8500 Years	8000	Northern Segment	Panxi and Liangshan	0.694
Co-clustering Frequency	8000-8500 Years	8000	Northern Segment	Qinghai-Tibet Plateau Core	0.854
Co-clustering Frequency	8000-8500 Years	8000	Northern Segment	Sichuan Basin	0.528
Co-clustering Frequency	8000-8500 Years	8000	Northern Segment	Southern Segment	0.6
Co-clustering Frequency	8000-8500 Years	8000	Northern Segment	Western Highland	0.806
Co-clustering Frequency	8000-8500 Years	8000	Panxi and Liangshan	Qinghai-Tibet Plateau Core	0.716
Co-clustering Frequency	8000-8500 Years	8000	Panxi and Liangshan	Sichuan Basin	0.422
Co-clustering Frequency	8000-8500 Years	8000	Panxi and Liangshan	Southern Segment	0.486
Co-clustering Frequency	8000-8500 Years	8000	Panxi and Liangshan	Western Highland	0.7
Co-clustering Frequency	8000-8500 Years	8000	Qinghai-Tibet Plateau Core	Sichuan Basin	0.49
Co-clustering Frequency	8000-8500 Years	8000	Qinghai-Tibet Plateau Core	Southern Segment	0.578
Co-clustering Frequency	8000-8500 Years	8000	Qinghai-Tibet Plateau Core	Western Highland	0.836
Co-clustering Frequency	8000-8500 Years	8000	Sichuan Basin	Southern Segment	0.484
Co-clustering Frequency	8000-8500 Years	8000	Sichuan Basin	Western Highland	0.47
Co-clustering Frequency	8000-8500 Years	8000	Southern Segment	Western Highland	0.526
Co-clustering Frequency	8500-9000 Years	8500	Central Segment	North China	0.592
Co-clustering Frequency	8500-9000 Years	8500	Central Segment	Northern Segment	0.778
Co-clustering Frequency	8500-9000 Years	8500	Central Segment	Panxi and Liangshan	0.836
Co-clustering Frequency	8500-9000 Years	8500	Central Segment	Qinghai-Tibet Plateau Core	0.82
Co-clustering Frequency	8500-9000 Years	8500	Central Segment	Sichuan Basin	0.604
Co-clustering Frequency	8500-9000 Years	8500	Central Segment	Southern Segment	0.564
Co-clustering Frequency	8500-9000 Years	8500	Central Segment	Western Highland	0.786
Co-clustering Frequency	8500-9000 Years	8500	North China	Northern Segment	0.618
Co-clustering Frequency	8500-9000 Years	8500	North China	Panxi and Liangshan	0.596
Co-clustering Frequency	8500-9000 Years	8500	North China	Qinghai-Tibet Plateau Core	0.596
Co-clustering Frequency	8500-9000 Years	8500	North China	Sichuan Basin	0.496
Co-clustering Frequency	8500-9000 Years	8500	North China	Southern Segment	0.448
Co-clustering Frequency	8500-9000 Years	8500	North China	Western Highland	0.59
Co-clustering Frequency	8500-9000 Years	8500	Northern Segment	Panxi and Liangshan	0.79
Co-clustering Frequency	8500-9000 Years	8500	Northern Segment	Qinghai-Tibet Plateau Core	0.782
Co-clustering Frequency	8500-9000 Years	8500	Northern Segment	Sichuan Basin	0.626
Co-clustering Frequency	8500-9000 Years	8500	Northern Segment	Southern Segment	0.586
Co-clustering Frequency	8500-9000 Years	8500	Northern Segment	Western Highland	0.744
Co-clustering Frequency	8500-9000 Years	8500	Panxi and Liangshan	Qinghai-Tibet Plateau Core	0.84
Co-clustering Frequency	8500-9000 Years	8500	Panxi and Liangshan	Sichuan Basin	0.624
Co-clustering Frequency	8500-9000 Years	8500	Panxi and Liangshan	Southern Segment	0.552
Co-clustering Frequency	8500-9000 Years	8500	Panxi and Liangshan	Western Highland	0.786
Co-clustering Frequency	8500-9000 Years	8500	Qinghai-Tibet Plateau Core	Sichuan Basin	0.624
Co-clustering Frequency	8500-9000 Years	8500	Qinghai-Tibet Plateau Core	Southern Segment	0.568
Co-clustering Frequency	8500-9000 Years	8500	Qinghai-Tibet Plateau Core	Western Highland	0.782
Co-clustering Frequency	8500-9000 Years	8500	Sichuan Basin	Southern Segment	0.5
Co-clustering Frequency	8500-9000 Years	8500	Sichuan Basin	Western Highland	0.594
Co-clustering Frequency	8500-9000 Years	8500	Southern Segment	Western Highland	0.518
Co-clustering Frequency	9000-9500 Years	9000	Central Segment	North China	0.942
Co-clustering Frequency	9000-9500 Years	9000	Central Segment	Northern Segment	0.936
Co-clustering Frequency	9000-9500 Years	9000	Central Segment	Panxi and Liangshan	0.99
Co-clustering Frequency	9000-9500 Years	9000	Central Segment	Qinghai-Tibet Plateau Core	0.968
Co-clustering Frequency	9000-9500 Years	9000	Central Segment	Sichuan Basin	0.388
Co-clustering Frequency	9000-9500 Years	9000	Central Segment	Southern Segment	0.202
Co-clustering Frequency	9000-9500 Years	9000	Central Segment	Western Highland	0.97
Co-clustering Frequency	9000-9500 Years	9000	North China	Northern Segment	0.89
Co-clustering Frequency	9000-9500 Years	9000	North China	Panxi and Liangshan	0.936
Co-clustering Frequency	9000-9500 Years	9000	North China	Qinghai-Tibet Plateau Core	0.918
Co-clustering Frequency	9000-9500 Years	9000	North China	Sichuan Basin	0.394
Co-clustering Frequency	9000-9500 Years	9000	North China	Southern Segment	0.228
Co-clustering Frequency	9000-9500 Years	9000	North China	Western Highland	0.916
Co-clustering Frequency	9000-9500 Years	9000	Northern Segment	Panxi and Liangshan	0.934
Co-clustering Frequency	9000-9500 Years	9000	Northern Segment	Qinghai-Tibet Plateau Core	0.924
Co-clustering Frequency	9000-9500 Years	9000	Northern Segment	Sichuan Basin	0.408
Co-clustering Frequency	9000-9500 Years	9000	Northern Segment	Southern Segment	0.258
Co-clustering Frequency	9000-9500 Years	9000	Northern Segment	Western Highland	0.914
Co-clustering Frequency	9000-9500 Years	9000	Panxi and Liangshan	Qinghai-Tibet Plateau Core	0.962
Co-clustering Frequency	9000-9500 Years	9000	Panxi and Liangshan	Sichuan Basin	0.382
Co-clustering Frequency	9000-9500 Years	9000	Panxi and Liangshan	Southern Segment	0.2
Co-clustering Frequency	9000-9500 Years	9000	Panxi and Liangshan	Western Highland	0.964
Co-clustering Frequency	9000-9500 Years	9000	Qinghai-Tibet Plateau Core	Sichuan Basin	0.392
Co-clustering Frequency	9000-9500 Years	9000	Qinghai-Tibet Plateau Core	Southern Segment	0.218
Co-clustering Frequency	9000-9500 Years	9000	Qinghai-Tibet Plateau Core	Western Highland	0.942
Co-clustering Frequency	9000-9500 Years	9000	Sichuan Basin	Southern Segment	0.466
Co-clustering Frequency	9000-9500 Years	9000	Sichuan Basin	Western Highland	0.39
Co-clustering Frequency	9000-9500 Years	9000	Southern Segment	Western Highland	0.212
Co-clustering Frequency	9500-10000 Years	9500	Central Segment	North China	0.248
Co-clustering Frequency	9500-10000 Years	9500	Central Segment	Northern Segment	0.238
Co-clustering Frequency	9500-10000 Years	9500	Central Segment	Panxi and Liangshan	0.394
Co-clustering Frequency	9500-10000 Years	9500	Central Segment	Qinghai-Tibet Plateau Core	0.35
Co-clustering Frequency	9500-10000 Years	9500	Central Segment	Sichuan Basin	0.056
Co-clustering Frequency	9500-10000 Years	9500	Central Segment	Western Highland	0.38
Co-clustering Frequency	9500-10000 Years	9500	North China	Northern Segment	0.216
Co-clustering Frequency	9500-10000 Years	9500	North China	Panxi and Liangshan	0.148
Co-clustering Frequency	9500-10000 Years	9500	North China	Qinghai-Tibet Plateau Core	0.192
Co-clustering Frequency	9500-10000 Years	9500	North China	Sichuan Basin	0.126
Co-clustering Frequency	9500-10000 Years	9500	North China	Western Highland	0.194
Co-clustering Frequency	9500-10000 Years	9500	Northern Segment	Panxi and Liangshan	0.142
Co-clustering Frequency	9500-10000 Years	9500	Northern Segment	Qinghai-Tibet Plateau Core	0.288
Co-clustering Frequency	9500-10000 Years	9500	Northern Segment	Sichuan Basin	0.074
Co-clustering Frequency	9500-10000 Years	9500	Northern Segment	Western Highland	0.262
Co-clustering Frequency	9500-10000 Years	9500	Panxi and Liangshan	Qinghai-Tibet Plateau Core	0.276
Co-clustering Frequency	9500-10000 Years	9500	Panxi and Liangshan	Sichuan Basin	0.052
Co-clustering Frequency	9500-10000 Years	9500	Panxi and Liangshan	Western Highland	0.276
Co-clustering Frequency	9500-10000 Years	9500	Qinghai-Tibet Plateau Core	Sichuan Basin	0.058
Co-clustering Frequency	9500-10000 Years	9500	Qinghai-Tibet Plateau Core	Western Highland	0.34
Co-clustering Frequency	9500-10000 Years	9500	Sichuan Basin	Western Highland	0.048
Co-clustering Frequency	10000-10500 Years	10000	Central Segment	North China	0.816
Co-clustering Frequency	10000-10500 Years	10000	Central Segment	Northern Segment	0.894
Co-clustering Frequency	10000-10500 Years	10000	Central Segment	Panxi and Liangshan	0.91
Co-clustering Frequency	10000-10500 Years	10000	Central Segment	Qinghai-Tibet Plateau Core	0.924
Co-clustering Frequency	10000-10500 Years	10000	Central Segment	Sichuan Basin	0.222
Co-clustering Frequency	10000-10500 Years	10000	Central Segment	Western Highland	0.904
Co-clustering Frequency	10000-10500 Years	10000	North China	Northern Segment	0.75
Co-clustering Frequency	10000-10500 Years	10000	North China	Panxi and Liangshan	0.766
Co-clustering Frequency	10000-10500 Years	10000	North China	Qinghai-Tibet Plateau Core	0.788
Co-clustering Frequency	10000-10500 Years	10000	North China	Sichuan Basin	0.27
Co-clustering Frequency	10000-10500 Years	10000	North China	Western Highland	0.768
Co-clustering Frequency	10000-10500 Years	10000	Northern Segment	Panxi and Liangshan	0.828
Co-clustering Frequency	10000-10500 Years	10000	Northern Segment	Qinghai-Tibet Plateau Core	0.894
Co-clustering Frequency	10000-10500 Years	10000	Northern Segment	Sichuan Basin	0.144
Co-clustering Frequency	10000-10500 Years	10000	Northern Segment	Western Highland	0.87
Co-clustering Frequency	10000-10500 Years	10000	Panxi and Liangshan	Qinghai-Tibet Plateau Core	0.878
Co-clustering Frequency	10000-10500 Years	10000	Panxi and Liangshan	Sichuan Basin	0.228
Co-clustering Frequency	10000-10500 Years	10000	Panxi and Liangshan	Western Highland	0.854
Co-clustering Frequency	10000-10500 Years	10000	Qinghai-Tibet Plateau Core	Sichuan Basin	0.186
Co-clustering Frequency	10000-10500 Years	10000	Qinghai-Tibet Plateau Core	Western Highland	0.884
Co-clustering Frequency	10000-10500 Years	10000	Sichuan Basin	Western Highland	0.154
Co-clustering Frequency	10500-11000 Years	10500	Central Segment	North China	0.638
Co-clustering Frequency	10500-11000 Years	10500	Central Segment	Northern Segment	0.74
Co-clustering Frequency	10500-11000 Years	10500	Central Segment	Panxi and Liangshan	0.896
Co-clustering Frequency	10500-11000 Years	10500	Central Segment	Qinghai-Tibet Plateau Core	0.772
Co-clustering Frequency	10500-11000 Years	10500	Central Segment	Sichuan Basin	0.44
Co-clustering Frequency	10500-11000 Years	10500	Central Segment	Western Highland	0.78
Co-clustering Frequency	10500-11000 Years	10500	North China	Northern Segment	0.598
Co-clustering Frequency	10500-11000 Years	10500	North China	Panxi and Liangshan	0.662
Co-clustering Frequency	10500-11000 Years	10500	North China	Qinghai-Tibet Plateau Core	0.63
Co-clustering Frequency	10500-11000 Years	10500	North China	Sichuan Basin	0.414
Co-clustering Frequency	10500-11000 Years	10500	North China	Western Highland	0.65
Co-clustering Frequency	10500-11000 Years	10500	Northern Segment	Panxi and Liangshan	0.776
Co-clustering Frequency	10500-11000 Years	10500	Northern Segment	Qinghai-Tibet Plateau Core	0.728
Co-clustering Frequency	10500-11000 Years	10500	Northern Segment	Sichuan Basin	0.352
Co-clustering Frequency	10500-11000 Years	10500	Northern Segment	Western Highland	0.712
Co-clustering Frequency	10500-11000 Years	10500	Panxi and Liangshan	Qinghai-Tibet Plateau Core	0.812
Co-clustering Frequency	10500-11000 Years	10500	Panxi and Liangshan	Sichuan Basin	0.444
Co-clustering Frequency	10500-11000 Years	10500	Panxi and Liangshan	Western Highland	0.808
Co-clustering Frequency	10500-11000 Years	10500	Qinghai-Tibet Plateau Core	Sichuan Basin	0.376
Co-clustering Frequency	10500-11000 Years	10500	Qinghai-Tibet Plateau Core	Western Highland	0.74
Co-clustering Frequency	10500-11000 Years	10500	Sichuan Basin	Western Highland	0.388
Co-clustering Frequency	11000-11500 Years	11000	Central Segment	North China	0.814
Co-clustering Frequency	11000-11500 Years	11000	Central Segment	Northern Segment	0.838
Co-clustering Frequency	11000-11500 Years	11000	Central Segment	Panxi and Liangshan	0.834
Co-clustering Frequency	11000-11500 Years	11000	Central Segment	Qinghai-Tibet Plateau Core	0.866
Co-clustering Frequency	11000-11500 Years	11000	Central Segment	Sichuan Basin	0.186
Co-clustering Frequency	11000-11500 Years	11000	Central Segment	Western Highland	0.858
Co-clustering Frequency	11000-11500 Years	11000	North China	Northern Segment	0.784
Co-clustering Frequency	11000-11500 Years	11000	North China	Panxi and Liangshan	0.796
Co-clustering Frequency	11000-11500 Years	11000	North China	Qinghai-Tibet Plateau Core	0.848
Co-clustering Frequency	11000-11500 Years	11000	North China	Sichuan Basin	0.28
Co-clustering Frequency	11000-11500 Years	11000	North China	Western Highland	0.824
Co-clustering Frequency	11000-11500 Years	11000	Northern Segment	Panxi and Liangshan	0.792
Co-clustering Frequency	11000-11500 Years	11000	Northern Segment	Qinghai-Tibet Plateau Core	0.856
Co-clustering Frequency	11000-11500 Years	11000	Northern Segment	Sichuan Basin	0.112
Co-clustering Frequency	11000-11500 Years	11000	Northern Segment	Western Highland	0.828
Co-clustering Frequency	11000-11500 Years	11000	Panxi and Liangshan	Qinghai-Tibet Plateau Core	0.832
Co-clustering Frequency	11000-11500 Years	11000	Panxi and Liangshan	Sichuan Basin	0.212
Co-clustering Frequency	11000-11500 Years	11000	Panxi and Liangshan	Western Highland	0.836
Co-clustering Frequency	11000-11500 Years	11000	Qinghai-Tibet Plateau Core	Sichuan Basin	0.212
Co-clustering Frequency	11000-11500 Years	11000	Qinghai-Tibet Plateau Core	Western Highland	0.864
Co-clustering Frequency	11000-11500 Years	11000	Sichuan Basin	Western Highland	0.244
Co-clustering Frequency	11500-12000 Years	11500	Central Segment	North China	0.488
Co-clustering Frequency	11500-12000 Years	11500	Central Segment	Northern Segment	0.662
Co-clustering Frequency	11500-12000 Years	11500	Central Segment	Panxi and Liangshan	0.636
Co-clustering Frequency	11500-12000 Years	11500	Central Segment	Qinghai-Tibet Plateau Core	0.672
Co-clustering Frequency	11500-12000 Years	11500	Central Segment	Western Highland	0.694
Co-clustering Frequency	11500-12000 Years	11500	North China	Northern Segment	0.386
Co-clustering Frequency	11500-12000 Years	11500	North China	Panxi and Liangshan	0.504
Co-clustering Frequency	11500-12000 Years	11500	North China	Qinghai-Tibet Plateau Core	0.484
Co-clustering Frequency	11500-12000 Years	11500	North China	Western Highland	0.498
Co-clustering Frequency	11500-12000 Years	11500	Northern Segment	Panxi and Liangshan	0.53
Co-clustering Frequency	11500-12000 Years	11500	Northern Segment	Qinghai-Tibet Plateau Core	0.626
Co-clustering Frequency	11500-12000 Years	11500	Northern Segment	Western Highland	0.592
Co-clustering Frequency	11500-12000 Years	11500	Panxi and Liangshan	Qinghai-Tibet Plateau Core	0.616
Co-clustering Frequency	11500-12000 Years	11500	Panxi and Liangshan	Western Highland	0.606
Co-clustering Frequency	11500-12000 Years	11500	Qinghai-Tibet Plateau Core	Western Highland	0.638
Co-clustering Frequency	12000-12500 Years	12000	Central Segment	North China	0.418
Co-clustering Frequency	12000-12500 Years	12000	Central Segment	Northern Segment	0.542
Co-clustering Frequency	12000-12500 Years	12000	Central Segment	Panxi and Liangshan	0.678
Co-clustering Frequency	12000-12500 Years	12000	Central Segment	Qinghai-Tibet Plateau Core	0.576
Co-clustering Frequency	12000-12500 Years	12000	Central Segment	Western Highland	0.55
Co-clustering Frequency	12000-12500 Years	12000	North China	Northern Segment	0.504
Co-clustering Frequency	12000-12500 Years	12000	North China	Panxi and Liangshan	0.568
Co-clustering Frequency	12000-12500 Years	12000	North China	Qinghai-Tibet Plateau Core	0.474
Co-clustering Frequency	12000-12500 Years	12000	North China	Western Highland	0.508
Co-clustering Frequency	12000-12500 Years	12000	Northern Segment	Panxi and Liangshan	0.708
Co-clustering Frequency	12000-12500 Years	12000	Northern Segment	Qinghai-Tibet Plateau Core	0.59
Co-clustering Frequency	12000-12500 Years	12000	Northern Segment	Western Highland	0.608
